# <Config><Ort>Uster</Ort><Lon>8.7209</Lon><Lat>47.3471</Lat><FName>weatherLog.txt</FName></Config>
Timestamp|Level|Temp [°C] |Druck [mBar]|Feuchte [%]|Bezeichnung [de]|Beschreibung [de]
2026-06-08 19:58:50|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:52|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:54|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:56|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:58|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:00|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:02|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:04|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:06|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:08|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:10|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:12|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:15|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:17|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:19|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:21|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:23|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:25|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:27|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:29|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:31|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:33|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:35|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:37|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:39|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:41|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:43|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:45|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:47|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:49|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:51|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:53|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:55|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:57|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:59:59|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:01|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:03|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:05|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:08|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:10|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:12|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:14|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:16|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:18|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:20|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:22|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:24|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:26|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:28|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:30|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:32|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:34|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:36|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:38|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:40|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:42|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:44|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:46|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:48|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:50|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:52|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:54|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:56|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:00:59|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:01:01|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:01:03|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:01:05|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:01:07|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:01:09|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:01:11|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:01:13|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:01:15|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:01:17|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:01:19|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:01:21|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:01:23|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:01:25|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 20:01:27|INFO|19.71|1018|78|Rain|Leichter Regen
