Time               ;q [%] ;p_Low [bar];p_High [bar];T_Env [C] ;T_Water [C];Comp_1_Ready;Comp_2_Ready;EmergencyOff;DelayedOn;ShutOff-Valve;Water Pump ;Mixing Valve Open;Compressor 1   ;Compressor 2   ;Fan Speed
2019-08-29 19:09:59; 53.75;  2.29     ;  8.91      ;      30.5;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:00; 53.63;  2.33     ;  8.94      ;      30.3;      32.7 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:01; 53.50;  2.26     ;  9.03      ;      30.1;      32.7 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:02; 53.63;  2.27     ;  9.13      ;      29.9;      32.7 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:03; 53.25;  2.21     ;  9.03      ;      29.9;      32.2 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:04; 53.25;  2.18     ;  9.16      ;      29.8;      32.3 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:05; 53.25;  2.27     ;  8.94      ;      29.9;      32.2 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:06; 53.25;  2.24     ;  9.00      ;      29.8;      32.2 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:07; 53.13;  2.20     ;  8.84      ;      30.1;      32.5 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:08; 53.13;  2.28     ;  8.75      ;      30.1;      32.7 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:09; 53.25;  2.26     ;  8.66      ;      30.1;      32.3 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:10; 53.38;  2.20     ;  8.75      ;      30.3;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:11; 53.25;  2.32     ;  8.38      ;      30.1;      32.5 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:13; 53.25;  2.28     ;  8.31      ;      29.8;      32.2 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:14; 53.25;  2.35     ;  8.47      ;      30.1;      32.5 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:15; 53.25;  2.22     ;  8.13      ;      29.9;      32.5 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:16; 53.25;  2.36     ;  8.34      ;      29.8;      32.3 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:17; 53.25;  2.21     ;  8.03      ;      29.9;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
